Id,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,0,34.5,0,0,7.8292,2
1,3,1,47.0,1,0,7.0,1
2,2,0,62.0,0,0,9.6875,2
3,3,0,27.0,0,0,8.6625,1
4,3,1,22.0,1,1,12.2875,1
5,3,0,14.0,0,0,9.225,1
6,3,1,30.0,0,0,7.6292,2
7,2,0,26.0,1,1,29.0,1
8,3,1,18.0,0,0,7.2292,0
9,3,0,21.0,2,0,24.15,1
10,3,0,,0,0,7.8958,1
11,1,0,46.0,0,0,26.0,1
12,1,1,23.0,1,0,82.2667,1
13,2,0,63.0,1,0,26.0,1
14,1,1,47.0,1,0,61.175,1
15,2,1,24.0,1,0,27.7208,0
16,2,0,35.0,0,0,12.35,2
17,3,0,21.0,0,0,7.225,0
18,3,1,27.0,1,0,7.925,1
19,3,1,45.0,0,0,7.225,0
20,1,0,55.0,1,0,59.4,0
21,3,0,9.0,0,1,3.1708,1
22,1,1,,0,0,31.6833,1
23,1,0,21.0,0,1,61.3792,0
24,1,1,48.0,1,3,262.375,0
25,3,0,50.0,1,0,14.5,1
26,1,1,22.0,0,1,61.9792,0
27,3,0,22.5,0,0,7.225,0
28,1,0,41.0,0,0,30.5,1
29,3,0,,2,0,21.6792,0
30,2,0,50.0,1,0,26.0,1
31,2,0,24.0,2,0,31.5,1
32,3,1,33.0,1,2,20.575,1
33,3,1,,1,2,23.45,1
34,1,0,30.0,1,0,57.75,0
35,3,0,18.5,0,0,7.2292,0
36,3,1,,0,0,8.05,1
37,3,1,21.0,0,0,8.6625,1
38,3,0,25.0,0,0,9.5,1
39,3,0,,0,0,56.4958,1
40,3,0,39.0,0,1,13.4167,0
41,1,0,,0,0,26.55,1
42,3,0,41.0,0,0,7.85,1
43,2,1,30.0,0,0,13.0,1
44,1,1,45.0,1,0,52.5542,1
45,3,0,25.0,0,0,7.925,1
46,1,0,45.0,0,0,29.7,0
47,3,0,,0,0,7.75,2
48,1,1,60.0,0,0,76.2917,0
49,3,1,36.0,0,2,15.9,1
50,1,0,24.0,1,0,60.0,1
51,2,0,27.0,0,0,15.0333,0
52,2,1,20.0,2,1,23.0,1
53,1,1,28.0,3,2,263.0,1
54,2,0,,0,0,15.5792,0
55,3,0,10.0,4,1,29.125,2
56,3,0,35.0,0,0,7.8958,1
57,3,0,25.0,0,0,7.65,1
58,3,0,,1,0,16.1,1
59,1,1,36.0,0,0,262.375,0
60,3,0,17.0,0,0,7.8958,1
61,2,0,32.0,0,0,13.5,1
62,3,0,18.0,0,0,7.75,1
63,3,1,22.0,0,0,7.725,2
64,1,0,13.0,2,2,262.375,0
65,2,1,,0,0,21.0,1
66,3,1,18.0,0,0,7.8792,2
67,1,0,47.0,0,0,42.4,1
68,1,0,31.0,0,0,28.5375,0
69,1,1,60.0,1,4,263.0,1
70,3,1,24.0,0,0,7.75,2
71,3,0,21.0,0,0,7.8958,1
72,3,1,29.0,0,0,7.925,1
73,1,0,28.5,0,0,27.7208,0
74,1,1,35.0,0,0,211.5,0
75,1,0,32.5,0,0,211.5,0
76,3,0,,0,0,8.05,1
77,1,1,55.0,2,0,25.7,1
78,2,0,30.0,0,0,13.0,1
79,3,1,24.0,0,0,7.75,2
80,3,0,6.0,1,1,15.2458,0
81,1,0,67.0,1,0,221.7792,1
82,1,0,49.0,0,0,26.0,1
83,3,0,,0,0,7.8958,1
